function_name|parameter_name|reporting_level|check_if_exists|Value_BRA|Value_ITA|Value_TZA|Problem|Action
get_country_all_inds|carbon_stdev_c_mg_prot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|carbon_stdev_c_mg_total|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|carbon_stdev_c_mg_unprot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|carbon_tot_c_pg_prot|CL|carbon_tot_c_pg_prot|46.67179386|0.787281528|2.392703527||
get_country_all_inds|carbon_tot_c_pg_total|CL|carbon_tot_c_pg_total|102.6888733|2.818725721|5.563079004||
get_country_all_inds|carbon_tot_c_pg_unprot|CL|carbon_tot_c_pg_unprot|56.0170794|2.031444193|3.170375477||
get_country_all_inds|country_id|C|country_id|38|143|279||
get_country_all_inds|country_iso2|C|country_iso2|BR|IT|TZ||
get_country_all_inds|country_iso3|C|country_iso3|BRA|ITA|TZA||
get_country_all_inds|country_name|C|country_name|Brazil|Italy|Tanzania, United Republic of||
get_country_all_inds|country_un_m49|C|country_un_m49|76|380|834||
get_country_all_inds|gebco_max_m|CL|#N/A|#N/A|#N/A|#N/A|different field names|check sql AND results.dopa_indicators
get_country_all_inds|gebco_mean_m|CL|#N/A|#N/A|#N/A|#N/A|different field names|check sql AND results.dopa_indicators
get_country_all_inds|gebco_min_m|CL|#N/A|#N/A|#N/A|#N/A|different field names|check sql AND results.dopa_indicators
get_country_all_inds|gebco_stdev_m|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|gfc_gain_km2|CL|gfc_gain_km2|34521.11452|390.2479344|1489.526051||
get_country_all_inds|gfc_gain_perc|CL|gfc_gain_perc|0.407310465|0.129411297|0.158395946||
get_country_all_inds|gfc_gain_prot_km2|CL|gfc_gain_prot_km2|2573.005815|112.1717945|296.2429422||
get_country_all_inds|gfc_gain_prot_perc|CL|gfc_gain_prot_perc|0.030358585|0.037197628|0.031502424||
get_country_all_inds|gfc_loss_km2|CL|gfc_loss_km2|565743.0822|3581.939135|25082.21339||
get_country_all_inds|gfc_loss_perc|CL|gfc_loss_perc|6.675134368|1.187817663|2.667238284||
get_country_all_inds|gfc_loss_prot_km2|CL|gfc_loss_prot_km2|61041.5649|963.1669538|6632.010012||
get_country_all_inds|gfc_loss_prot_perc|CL|gfc_loss_prot_perc|0.720222059|0.319398705|0.705246811||
get_country_all_inds|gfc_treecover_km2|CL|gfc_treecover_km2|92057619.23|616558.7241|1650921.288|wrong data|check aggregation
get_country_all_inds|gfc_treecover_perc|CL|gfc_treecover_perc|1086.176742|204.4589021|175.5586876|wrong data|check aggregation
get_country_all_inds|gfc_treecover_prot_km2|CL|gfc_treecover_prot_km2|10585982.52|31768.99325|182397.9174|wrong data|check aggregation
get_country_all_inds|gfc_treecover_prot_perc|CL|gfc_treecover_prot_perc|124.9027305|10.53501188|19.39616335|wrong data|check aggregation
get_country_all_inds|gsoc_max_c_mg_prot|CL|gsoc_max_c_mg_prot|18083.46694|15561.47072|20261.23921||
get_country_all_inds|gsoc_max_c_mg_total|CL|gsoc_max_c_mg_total|20322.82151|37818.91343|20261.23921||
get_country_all_inds|gsoc_max_c_mg_unprot|CL|gsoc_max_c_mg_unprot|20322.82151|37818.91343|15634.53826||
get_country_all_inds|gsoc_mean_c_mg_prot|CL|gsoc_mean_c_mg_prot|3827.019786|3728.779992|3285.916932||
get_country_all_inds|gsoc_mean_c_mg_total|CL|gsoc_mean_c_mg_total|3343.738007|2961.133634|3184.433998||
get_country_all_inds|gsoc_mean_c_mg_unprot|CL|gsoc_mean_c_mg_unprot|3317.082071|2939.432639|3176.757068||
get_country_all_inds|gsoc_min_c_mg_prot|CL|gsoc_min_c_mg_prot|0|0|0||
get_country_all_inds|gsoc_min_c_mg_total|CL|gsoc_min_c_mg_total|0|0|0||
get_country_all_inds|gsoc_min_c_mg_unprot|CL|gsoc_min_c_mg_unprot|0|0|0||
get_country_all_inds|gsoc_stdev_c_mg_prot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|gsoc_stdev_c_mg_total|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|gsoc_stdev_c_mg_unprot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|gsoc_tot_c_pg_prot|CL|gsoc_tot_c_pg_prot|11.46798932|0.388310289|1.458925531||
get_country_all_inds|gsoc_tot_c_pg_total|CL|gsoc_tot_c_pg_total|35.65714253|1.559359691|3.639075758||
get_country_all_inds|gsoc_tot_c_pg_unprot|CL|gsoc_tot_c_pg_unprot|24.18915321|1.171049402|2.180150227||
